zip_code,project_status,planning_neighborhood,lead_agency,general_housing_program,specific_program_area,project_type,housing_tenure,project_lead_sponsor,total_project_units,mohcd_affordable_units,%_affordable,sro_units,studio_units,1bd_units,2bd_units,3bd_units,4bd_units,5+_bd_units,mobility_units,family_units,senior_units,tay_units,homeless_units,disabled_units,losp_units,public_housing_replacement_units,20%_ami,30%_ami,40%_ami,50%_ami,55%_ami,60%_ami,80%_ami,90%_ami,100%_ami,105%_ami,110%_ami,120%_ami,130%_ami,150%_ami,ami_undeclared
94109,Pre-Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"Reuben, Junius & Rose, LLP",21,3,14,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
94109,Pre-Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Julie Heinzler,221,35,16,0,13,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,6,0,0,0,6,0,0,0,0
94109,Pre-Construction,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"Reuben, Junius & Rose, LLP",69,17,25,0,0,6,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,4,0,0,0,0
94109,Pre-Construction,Nob Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,1525 Pine Street Dev LLC,21,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
94109,Pre-Construction,Nob Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Ian Birchall,63,11,17,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0,0,0
94110,Building Rehabilitation (Construction),Mission,MOHCD,MOHCD Preservation,Small Sites Program,Rehabilitation,Rental,Mission Economic Development Agency,5,5,100,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
94110,Building Rehabilitation (Construction),Mission,MOHCD,MOHCD Preservation,Small Sites Program,Rehabilitation,Rental,San Francisco Community Land Trust,20,20,100,14,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
94110,Building Rehabilitation (Construction),Mission,SFRA,MOHCD 100% Affordable,Multifamily Rental Program,Rehabilitation,Rental,Bernal Heights Housing Corporation,9,9,100,0,6,3,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
94110,Building Rehabilitation (Pre-Construction),Mission,MOHCD,MOHCD Preservation,Big Sites Program,Rehabilitation,Rental,Mission Economic Development Agency,35,35,100,2,28,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
94110,Construction,Bernal Heights,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Bernal Heights Neighborhood Center,35,34,97,0,34,0,0,0,0,0,6,34,0,0,0,0,0,0,0,11,0,0,15,0,8,0,0,0,0,0,0,0,0
94110,Construction,Bernal Heights,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,"Mercy Housing CA 108, LP",146,145,99,0,145,0,1,0,0,0,0,0,0,0,145,0,145,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0
94110,Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Ian Birchall,35,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
94110,Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Muhammad A. Nadhiri,117,19,16,0,4,8,7,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
94110,Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"RRTI, Inc.",75,8,11,0,2,4,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0
94110,Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Y.A. Studio,18,2,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
94110,Construction,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Chinatown Community Development Center,168,167,99,0,15,32,76,44,0,0,27,120,0,0,42,0,42,0,0,40,19,15,0,0,93,0,0,0,0,0,0,0,0
94110,Pre-Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Riyad Ghannam,57,11,19,0,0,6,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,3,0,0
94110,Pre-Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Sternberg Benjamin Architects,18,18,100,0,6,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
94110,Pre-Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Steve Vettel,53,8,15,0,0,4,3,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
94110,Pre-Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,DM Development,168,23,14,0,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,5,0,0,0,0
94110,Pre-Construction,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"Reuben, Junius & Rose, LLP",24,3,13,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
94110,Pre-Construction,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Mercy Housing CA,74,73,99,0,0,36,32,6,0,0,12,74,0,0,37,0,37,0,0,0,0,54,0,15,4,0,0,0,0,0,0,0,0
94110,Pre-Construction,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Mission Economic Development Agency,99,98,99,0,26,13,34,25,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0
94110,Pre-Construction,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Mission Housing Development Properties III,149,148,99,0,0,60,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
94110,Pre-Construction,Mission,MOHCD,Other Ownership Programs,BMR-Other,New Construction,Ownership,Mission Economic Development Agency,63,63,100,0,0,0,46,17,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,3,0,11,18,0,0
94112,Construction,West of Twin Peaks,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,BRIDGE Housing,128,127,99,0,0,56,39,32,0,0,20,128,0,0,0,0,0,0,0,31,0,36,0,60,0,0,0,0,0,0,0,0,0
94112,Pre-Construction,Crocker Amazon,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Sia Consulting Corp,29,6,21,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0
94112,Pre-Construction,Excelsior,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"4199 Mission Street, LLC",40,12,30,0,0,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
94112,Pre-Construction,Outer Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Jeremy Schaub,35,6,17,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0
94112,Pre-Construction,Outer Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Schaub Ly Architects,69,17,25,0,0,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,5,0,0,0,0
94112,Pre-Construction,Outer Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Tortilla Flats LLC,24,3,13,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
94112,Pre-Construction,West of Twin Peaks,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,BRIDGE Housing,159,157,99,0,17,46,53,41,0,0,16,157,0,0,0,0,0,0,0,0,40,0,0,39,78,0,0,0,0,0,0,0,0
94114,Building Rehabilitation (Construction),Noe Valley,MOHCD,MOHCD Preservation,Small Sites Program,Rehabilitation,Rental,San Francisco Community Land Trust,6,4,67,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
94114,Construction,Castro/Upper Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Sia Consulting Corp,25,5,20,0,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0
94114,Pre-Construction,Castro/Upper Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"Reuben, Junius & Rose, LLP",19,3,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
94114,Pre-Construction,Castro/Upper Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Schaub Ly Architects,24,3,13,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
94114,Pre-Construction,Castro/Upper Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Ankrom Moisan Architects,91,13,14,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,3,0,0,0,0
94115,Building Rehabilitation (Construction),Western Addition,MOHCD,Temporary/Service Housing,Cooperative Living for Mental Health,Rehabilitation,Rental,"Conard House, Inc.",3,3,100,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
94115,Building Rehabilitation (Construction),Western Addition,MOHCD/SFRA,MOHCD 100% Affordable,Multifamily Rental Program,Rehabilitation,Rental,Bernal Heights Housing Corporation,7,7,100,0,0,1,5,1,0,0,0,7,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
94115,Pre-Construction,Pacific Heights,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Gokovacandir LLC,24,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
94116,Pre-Construction,West of Twin Peaks,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Mission Housing Development Corporation,172,171,99,0,0,35,99,37,0,0,8,170,0,0,43,0,43,0,0,35,0,136,0,0,0,0,0,0,0,0,0,0,0
94117,Construction,Haight Ashbury,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Chinatown Community Development Center,160,159,99,0,35,42,42,40,0,0,32,127,0,20,32,0,32,0,40,16,0,36,0,39,28,0,0,0,0,0,0,0,0
94117,Pre-Construction,Western Addition,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Genesis CA Development LLC,184,37,20,0,18,4,15,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,23,0,7,0,0,0,7,0,0,0,0
94117,Pre-Construction,Western Addition,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Jonathan Rose Companies,107,106,99,0,27,26,27,26,0,0,0,106,0,0,24,0,0,0,9,0,0,97,0,0,0,0,0,0,0,0,0,0,0
94118,Building Rehabilitation (Construction),Inner Richmond,MOHCD,MOHCD Preservation,Small Sites Program,Rehabilitation,Rental,San Francisco Community Land Trust,6,6,100,0,1,2,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
94118,Construction,Inner Richmond,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Tenderloin Neighborhood Development Corporation (TNDC),98,97,99,0,41,56,0,0,0,0,49,0,97,0,20,0,20,0,35,15,0,47,0,0,0,0,0,0,0,0,0,0,0
94118,Pre-Construction,Presidio Heights,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Elevation Architects,42,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,4,0,0
94118,Pre-Construction,Presidio Heights,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,RG Architecture,95,22,23,0,15,0,7,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
94122,Construction,Outer Sunset,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"Leavitt Architecture, Inc.",20,5,25,0,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0
94122,Construction,Outer Sunset,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Tenderloin Neighborhood Development Corporation (TNDC),90,89,99,0,9,33,23,24,0,0,20,89,0,0,22,0,22,0,0,32,17,15,0,13,12,0,0,0,0,0,0,0,0
94122,Pre-Construction,Outer Sunset,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Kodorski Design Inc,41,10,24,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0
94122,Pre-Construction,Outer Sunset,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Tenderloin Neighborhood Development Corporation (TNDC),199,197,99,0,88,105,4,0,0,0,0,0,197,0,99,0,0,0,20,0,0,177,0,0,0,0,0,0,0,0,0,0,0
94123,Construction,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,CTW Home Improvement Inc,21,4,19,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0
94123,Pre-Construction,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Antrea Investments & Trading LLC,17,2,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
94123,Pre-Construction,Marina,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Prado Group,49,9,18,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,2,0,0,0,0,0
94124,Building Rehabilitation (Pre-Construction),Bayview,MOHCD,Temporary/Service Housing,Cooperative Living for Mental Health,Rehabilitation,Rental,Third Street Youth Center & Clinic,20,20,100,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
94124,Construction,Bayview,MOHCD,MOHCD 100% Affordable,HOPE SF,New Construction,Rental,The John Stewart Company,118,117,99,0,0,52,10,16,34,5,19,117,0,0,0,0,0,54,0,0,16,0,64,37,0,0,0,0,0,0,0,0,0
94124,Construction,Bayview,OCII,Inclusionary Housing,OCII Inclusionary Rental Program,New Construction,Ownership,none_available,8,2,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94124,Construction,Bayview,OCII,Inclusionary Housing,OCII Inclusionary Rental Program,New Construction,Rental,none_available,35,10,29,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
94124,Construction,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Jonathan Rose Companies,112,110,98,0,0,49,29,23,8,1,18,110,0,0,0,0,0,0,0,4,9,97,0,0,0,0,0,0,0,0,0,0,0
94124,Construction,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Mercy Housing CA,73,72,99,0,4,18,31,16,2,1,11,72,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0
94124,Construction,Bayview,OCII,Other Ownership Programs,Limited Equity Program,New Construction,Ownership,Lennar,87,11,13,0,0,3,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
94124,Construction,Bayview,OCII,Other Ownership Programs,Limited Equity Program,New Construction,Ownership,Sponsor Not Yet Determined,77,9,12,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
94124,Construction,Bayview,OCII,Other Ownership Programs,Limited Equity Program,New Construction,Ownership,none_available,317,45,14,0,0,21,23,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,3,0,0,0
94124,Pre-Construction,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"J. Abrams Law, PC",122,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
94124,Pre-Construction,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Riyad Ghannam,29,5,17,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0
94124,Pre-Construction,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Alfred Twu,12,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94124,Pre-Construction,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"Leavitt Architecture, Inc.",100,30,30,0,5,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0
94124,Pre-Construction,Bayview,OCII,Inclusionary Housing,OCII Inclusionary Rental Program,New Construction,Rental,none_available,190,138,69.5,0,4,7,5,1,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0
94124,Pre-Construction,Bayview,OCII,MOHCD 100% Affordable,HOPE SF,New Construction,Rental,McCormack Baron Salazar,167,165,98,0,0,130,0,0,29,6,17,35,130,0,0,0,0,30,0,0,0,160,0,5,0,0,0,0,0,0,0,0,0
94124,Pre-Construction,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Multiphase Project Sponsor not Assigned,399,394,98.8,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,142,0,59,0,0,0,0,0,0,0,0,193
94124,Pre-Construction,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,San Francisco Housing Development Corporation,176,175,99,0,2,45,56,68,3,1,18,170,0,5,38,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0
94124,Pre-Construction,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Tenderloin Neighborhood Development Corporation (TNDC),156,155,99,0,0,49,14,88,3,1,32,150,0,5,35,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0
94124,Pre-Construction,Bayview,OCII,Other Ownership Programs,Limited Equity Program,New Construction,Ownership,none_available,509,46,8.75,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,31,0,0,0
94130,Construction,Treasure Island/YBI,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,"Wilson Meany, Stockbridge, and Lennar",148,7,5,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0
94130,Pre-Construction,Treasure Island/YBI,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Multiphase Project Sponsor not Assigned,243,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
94130,Pre-Construction,Treasure Island/YBI,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Multiphase Project Sponsor not Assigned,117,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
94130,Pre-Construction,Treasure Island/YBI,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Mercy Housing CA,100,93,93,0,0,95,5,0,0,0,0,0,99,0,0,0,33,0,0,0,33,0,0,0,60,0,0,0,0,0,0,6,0
94130,Pre-Construction,Treasure Island/YBI,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,The John Stewart Company,150,120,80,0,5,45,58,32,10,0,0,149,0,0,0,0,0,0,0,0,0,94,0,0,25,0,0,0,0,0,0,30,0
94131,Pre-Construction,Twin Peaks,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Paramount Estate LLC,13,3,23,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
94131,Pre-Construction,Twin Peaks,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Mercy Housing CA,220,218,99,0,90,129,0,0,0,0,218,0,218,0,0,0,0,0,0,0,0,160,0,58,0,0,0,0,0,0,0,0,0
94132,Pre-Construction,Lakeshore,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Maximus,5735,287,5,0,10,21,11,6,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,239
94133,Pre-Construction,Chinatown,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Chinatown Community Development Center,175,174,99,0,124,50,1,0,0,0,0,0,174,0,44,0,44,0,0,44,0,5,55,70,0,0,0,0,0,0,0,0,0
94133,Pre-Construction,Financial District,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Ian Birchall,42,5,12,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0
94133,Pre-Construction,North Beach,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Cynthia Wong,17,2,12,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
94133,Pre-Construction,North Beach,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Elevation Architects,56,10,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,2,0,0,0,0
94134,Building Rehabilitation (Construction),Excelsior,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,Rehabilitation,Rental,Bernal Heights Housing Corporation,10,10,100,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0
94134,Construction,Visitacion Valley,MOHCD,MOHCD 100% Affordable,HOPE SF,New Construction,Rental,Mercy Housing CA,89,88,99,0,0,14,42,23,9,0,14,0,0,0,0,0,0,0,0,28,0,44,0,12,4,0,0,0,0,0,0,0,0
94134,Construction,Visitacion Valley,MOHCD,MOHCD 100% Affordable,HOPE SF,New Construction,Rental,Related California,95,94,99,0,0,10,51,21,12,0,15,94,0,0,0,0,0,0,0,29,0,49,0,12,0,0,0,0,0,0,0,0,4
94134,Pre-Construction,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Ocean Landing LLC,585,72,12,0,0,43,20,9,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
94134,Pre-Construction,Visitacion Valley,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Multiphase Project Sponsor not Assigned,1679,168,10,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
94158,Pre-Construction,South of Market,OCII,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Curtis Development,165,164,99,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0
94158,Pre-Construction,South of Market,OCII,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Multiphase Project Sponsor not Assigned,318,316,99,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316
